id,temple_code,temple_name,temple_type,sect,registration_type,established_date,has_visung,visung_date,status_date,subdistrict,district,province,postal_code,phone,fax,email,website,village,house_no,moo,soi,road,note,province_id,district_id,subdistrict_id,order_no,created_at,updated_at
27373,66130070001,มหาบุญพินิจ,วัดราษฎร์,มหานิกาย,ตั้งวัด,2566-10-09,ไม่ได้รับ,-,//,ทุ่งอรุณ,โชคชัย,นครราชสีมา,30190,,,,,ใหม่ดอนเกตุ,,12,,,,,,,,,
27374,1103401001,มหาบุศย์,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-04-23,ได้รับ,1906-09-24,,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10250,,,,,,,12,,,,,,,,,
27375,4430109005,มหาประชา,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-08-28,ได้รับ,2556-06-21,,บ้านเดื่อ,เมืองหนองคาย,หนองคาย,43000,,,,,,,5,,,,,,,,,
27376,63120060001,มหาปิฎกธรรมาราม,วัดราษฎร์,มหานิกาย,ตั้งวัด,2563-05-29,ไม่ได้รับ,-,//,หนองเหียง,พนัสนิคม,ชลบุรี,20140,,,,,หนองอุดม,,8,,,,,,,,,
27377,4440404001,มหาผล,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-05-11,ได้รับ,1906-07-30,,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,44150,,,,,,,3,,,,,,,,,
27378,4470111011,มหาพรหมโพธิราช,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-11-01,ได้รับ,2539-02-21,//,ดงชน,เมืองสกลนคร,สกลนคร,47000,,,,,ท่าวัดเหนือ,,3,,,,,,,,,
27379,1100401001,มหาพฤฒาราม,พระอารามหลวง,มหานิกาย,ตั้งวัด,1906-07-21,ได้รับ,1906-07-24,//,มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,10500,,,,,,,,,,,,,,,,
27380,2140301001,มหาพล,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-03-09,ได้รับ,2495-08-09,,นครหลวง,นครหลวง,พระนครศรีอยุธยา,13260,,,,,,,7,,,,,,,,,
27381,66138070001,มหาพุทธสาคร,วัดราษฎร์,มหานิกาย,ตั้งวัด,2566-06-22,ไม่ได้รับ,-,//,นาแสง,ศรีวิไล,บึงกาฬ,38190,,,,,นาแสงสาคร,,7,,,,,,,,,
27382,4330101001,มหาพุทธาราม,พระอารามหลวง,มหานิกาย,ตั้งวัด,1906-07-22,ได้รับ,1906-09-30,//,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,33000,,,,,,,,,,,,,,,,
27383,3550101009,มหาโพธิ์,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-01-25,ได้รับ,1906-11-26,,ในเวียง,เมืองน่าน,น่าน,55000,,,,,,,,,,,,,,,,
27384,3540110001,มหาโพธิ์,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-07-09,ได้รับ,1906-10-16,,ป่าแมต,เมืองแพร่,แพร่,54000,,,,,,,5,,,,,,,,,
27385,2160802001,มหาโพธิ์,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-01-27,ได้รับ,1906-11-26,,มหาโพธิ,สระโบสถ์,ลพบุรี,15240,,,,,,,7,,,,,,,,,
